Hits,Percentage,State/Region,Country
8607,10.89%,New York,United States
3661,4.63%,Texas,United States
3526,4.46%,California,United States
2640,3.34%,Virginia,United States
2006,2.54%,Ontario,Canada
1966,2.49%,Florida,United States
1596,2.02%,New Jersey,United States
1552,1.96%,Maharashtra,India
1413,1.79%,Illinois,United States
1369,1.73%,Maryland,United States
1269,1.61%,Karnataka,India
1210,1.53%,Tamil Nadu,India
1175,1.49%,Georgia,United States
1147,1.45%,Oregon,United States
1144,1.45%,Andhra Pradesh,India
1053,1.33%,(unknown region),United States
987,1.25%,North Carolina,United States
898,1.14%,Delhi,India
866,1.10%,Washington,United States
814,1.03%,Pennsylvania,United States
753,0.95%,Lagos,Nigeria
727,0.92%,Colorado,United States
718,0.91%,Michigan,United States
717,0.91%,Massachusetts,United States
663,0.84%,Victoria,Australia
631,0.80%,Ohio,United States
615,0.78%,(unknown region),Singapore
600,0.76%,New South Wales,Australia
544,0.69%,Arizona,United States
536,0.68%,Gujarat,India
500,0.63%,Connecticut,United States
493,0.62%,Quebec,Canada
470,0.59%,Uttar Pradesh,India
441,0.56%,(unknown region),United Kingdom
414,0.52%,Ile-de-France,France
411,0.52%,West Bengal,India
384,0.49%,District of Columbia,United States
381,0.48%,Rheinland-Pfalz,Germany
375,0.47%,Missouri,United States
367,0.46%,Tennessee,United States
357,0.45%,Minnesota,United States
350,0.44%,Indiana,United States
345,0.44%,Kerala,India
328,0.41%,Nairobi Area,Kenya
323,0.41%,Bayern,Germany
310,0.39%,South Carolina,United States
306,0.39%,Gauteng,South Africa
299,0.38%,Alabama,United States
295,0.37%,Alberta,Canada
293,0.37%,Hessen,Germany
281,0.36%,Dublin,Ireland
276,0.35%,(unknown region),France
265,0.34%,Nevada,United States
265,0.34%,Punjab,Pakistan
263,0.33%,British Columbia,Canada
255,0.32%,Nordrhein-Westfalen,Germany
251,0.32%,Iowa,United States
249,0.31%,Dubai,United Arab Emirates
248,0.31%,Wisconsin,United States
247,0.31%,Noord-Holland,Netherlands
245,0.31%,Istanbul,Turkey
244,0.31%,London,United Kingdom
240,0.30%,Tel Aviv,Israel
223,0.28%,Utah,United States
220,0.28%,Madhya Pradesh,India
216,0.27%,Rajasthan,India
215,0.27%,Sindh,Pakistan
212,0.27%,Al Qahirah,Egypt
210,0.27%,Ar Riyad,Saudi Arabia
210,0.27%,Southern Finland,Finland
207,0.26%,Sao Paulo,Brazil
206,0.26%,Kentucky,United States
203,0.26%,Bihar,India
193,0.24%,Hlavni mesto Praha,Czech Republic
184,0.23%,Queensland,Australia
181,0.23%,Louisiana,United States
172,0.22%,Oklahoma,United States
170,0.22%,Manila,Philippines
170,0.22%,Attiki,Greece
164,0.21%,Lisboa,Portugal
162,0.20%,Hawaii,United States
160,0.20%,Western Australia,Australia
157,0.20%,Haryana,India
157,0.20%,Baden-Wurttemberg,Germany
154,0.19%,Manitoba,Canada
151,0.19%,Quezon City,Philippines
150,0.19%,Kyyiv,Ukraine
149,0.19%,Budapest,Hungary
145,0.18%,Catalonia,Spain
145,0.18%,Madrid,Spain
144,0.18%,Kuala Lumpur,Malaysia
142,0.18%,(unknown region),Hong Kong
141,0.18%,Berlin,Germany
136,0.17%,Orissa,India
136,0.17%,North Yorkshire,United Kingdom
133,0.17%,Dhaka,Bangladesh
129,0.16%,Greater Accra,Ghana
128,0.16%,Bucuresti,Romania
127,0.16%,Dar es Salaam,"Tanzania, United Republic of"
126,0.16%,(unknown region),Nepal
123,0.16%,Selangor,Malaysia
123,0.16%,Western,Sri Lanka
121,0.15%,Western Cape,South Africa
119,0.15%,Manchester,United Kingdom
118,0.15%,(unknown region),Germany
