Day,Date,PageViews,Sessions,Visitors,NewVisitors
Monday,2020-04-13,32,26,25,25
Tuesday,2020-04-14,187,93,85,83
Wednesday,2020-04-15,128,73,63,57
Thursday,2020-04-16,47,33,28,21
Friday,2020-04-17,145,109,95,90
Saturday,2020-04-18,201,134,120,106
Sunday,2020-04-19,66,39,32,26
Monday,2020-04-20,65,37,32,27
Tuesday,2020-04-21,163,80,74,62
Wednesday,2020-04-22,621,332,298,281
Thursday,2020-04-23,371,193,175,146
Friday,2020-04-24,201,110,90,71
Saturday,2020-04-25,385,193,160,141
Sunday,2020-04-26,362,246,224,189
Monday,2020-04-27,444,302,277,245
Tuesday,2020-04-28,127,87,77,55
Wednesday,2020-04-29,82,54,45,31
Thursday,2020-04-30,105,73,68,53
Friday,2020-05-01,61,38,32,23
Saturday,2020-05-02,84,48,46,29
Sunday,2020-05-03,81,58,52,39
Monday,2020-05-04,281,178,150,132
Tuesday,2020-05-05,76,44,39,33
Wednesday,2020-05-06,63,44,38,22
Thursday,2020-05-07,55,33,32,17
Friday,2020-05-08,47,31,29,23
Saturday,2020-05-09,52,34,30,22
Sunday,2020-05-10,48,24,21,13
Monday,2020-05-11,43,35,34,23
Tuesday,2020-05-12,105,56,51,40
Wednesday,2020-05-13,146,85,70,46
Thursday,2020-05-14,1128,773,730,712
Friday,2020-05-15,5039,3996,3598,3506
Saturday,2020-05-16,1469,1120,944,752
Sunday,2020-05-17,840,611,501,359
Monday,2020-05-18,657,481,390,259
Tuesday,2020-05-19,513,391,324,217
Wednesday,2020-05-20,401,289,242,160
Thursday,2020-05-21,664,454,390,290
Friday,2020-05-22,332,223,184,128
Saturday,2020-05-23,247,158,117,67
Sunday,2020-05-24,281,198,165,112
Monday,2020-05-25,214,152,124,73
Tuesday,2020-05-26,231,145,118,74
Wednesday,2020-05-27,182,119,92,43
Thursday,2020-05-28,119,85,67,34
Friday,2020-05-29,148,98,80,45
Saturday,2020-05-30,115,82,60,33
Sunday,2020-05-31,72,61,43,15
Monday,2020-06-01,95,67,51,26
Tuesday,2020-06-02,93,76,57,31
Wednesday,2020-06-03,53,47,40,19
Thursday,2020-06-04,254,179,158,107
Friday,2020-06-05,169,113,101,64
Saturday,2020-06-06,288,182,156,109
Sunday,2020-06-07,158,98,86,58
Monday,2020-06-08,177,122,107,79
Tuesday,2020-06-09,265,187,158,106
Wednesday,2020-06-10,157,120,108,78
Thursday,2020-06-11,113,78,66,39
Friday,2020-06-12,103,65,48,33
Saturday,2020-06-13,76,62,43,22
Sunday,2020-06-14,56,43,36,19
Monday,2020-06-15,89,59,48,24
Tuesday,2020-06-16,62,54,47,26
Wednesday,2020-06-17,139,74,50,26
Thursday,2020-06-18,83,61,52,30
Friday,2020-06-19,48,37,26,11
Saturday,2020-06-20,37,32,28,15
Sunday,2020-06-21,39,32,29,16
Monday,2020-06-22,57,38,35,25
Tuesday,2020-06-23,114,54,50,28
Wednesday,2020-06-24,48,38,32,18
Thursday,2020-06-25,66,39,34,21
Friday,2020-06-26,54,39,30,19
Saturday,2020-06-27,31,29,20,9
Sunday,2020-06-28,45,25,23,15
Monday,2020-06-29,46,39,32,21
Tuesday,2020-06-30,36,33,25,14
Wednesday,2020-07-01,40,31,23,13
Thursday,2020-07-02,36,32,28,18
Friday,2020-07-03,47,29,20,9
Saturday,2020-07-04,45,40,28,20
Sunday,2020-07-05,69,42,33,25
Monday,2020-07-06,49,41,31,15
Tuesday,2020-07-07,69,55,50,31
Wednesday,2020-07-08,112,72,57,40
Thursday,2020-07-09,98,70,57,42
Friday,2020-07-10,27,27,23,14
Saturday,2020-07-11,15,14,9,4
Sunday,2020-07-12,22,12,11,7
Monday,2020-07-13,53,36,26,17
Tuesday,2020-07-14,60,47,40,21
Wednesday,2020-07-15,48,33,31,20
Thursday,2020-07-16,36,24,20,13
