Day,Date,PageViews,Sessions,Visitors,NewVisitors,type_visitors,id,end_visitors,start_visitors
Monday,2020-04-13,32,26,25,25,increase,1,25,0
Tuesday,2020-04-14,187,93,85,83,increase,2,110,25
Wednesday,2020-04-15,128,73,63,57,increase,3,173,110
Thursday,2020-04-16,47,33,28,21,increase,4,201,173
Friday,2020-04-17,145,109,95,90,increase,5,296,201
Saturday,2020-04-18,201,134,120,106,increase,6,416,296
Sunday,2020-04-19,66,39,32,26,increase,7,448,416
Monday,2020-04-20,65,37,32,27,increase,8,480,448
Tuesday,2020-04-21,163,80,74,62,increase,9,554,480
Wednesday,2020-04-22,621,332,298,281,increase,10,852,554
Thursday,2020-04-23,371,193,175,146,increase,11,1027,852
Friday,2020-04-24,201,110,90,71,increase,12,1117,1027
Saturday,2020-04-25,385,193,160,141,increase,13,1277,1117
Sunday,2020-04-26,362,246,224,189,increase,14,1501,1277
Monday,2020-04-27,444,302,277,245,increase,15,1778,1501
Tuesday,2020-04-28,127,87,77,55,increase,16,1855,1778
Wednesday,2020-04-29,82,54,45,31,increase,17,1900,1855
Thursday,2020-04-30,105,73,68,53,increase,18,1968,1900
Friday,2020-05-01,61,38,32,23,increase,19,2000,1968
Saturday,2020-05-02,84,48,46,29,increase,20,2046,2000
Sunday,2020-05-03,81,58,52,39,increase,21,2098,2046
Monday,2020-05-04,281,178,150,132,increase,22,2248,2098
Tuesday,2020-05-05,76,44,39,33,increase,23,2287,2248
Wednesday,2020-05-06,63,44,38,22,increase,24,2325,2287
Thursday,2020-05-07,55,33,32,17,increase,25,2357,2325
Friday,2020-05-08,47,31,29,23,increase,26,2386,2357
Saturday,2020-05-09,52,34,30,22,increase,27,2416,2386
Sunday,2020-05-10,48,24,21,13,increase,28,2437,2416
Monday,2020-05-11,43,35,34,23,increase,29,2471,2437
Tuesday,2020-05-12,105,56,51,40,increase,30,2522,2471
Wednesday,2020-05-13,146,85,70,46,increase,31,2592,2522
Thursday,2020-05-14,1128,773,730,712,increase,32,3322,2592
Friday,2020-05-15,5039,3996,3598,3506,increase,33,6920,3322
Saturday,2020-05-16,1469,1120,944,752,increase,34,7864,6920
Sunday,2020-05-17,840,611,501,359,increase,35,8365,7864
Monday,2020-05-18,657,481,390,259,increase,36,8755,8365
Tuesday,2020-05-19,513,391,324,217,increase,37,9079,8755
Wednesday,2020-05-20,401,289,242,160,increase,38,9321,9079
Thursday,2020-05-21,664,454,390,290,increase,39,9711,9321
Friday,2020-05-22,332,223,184,128,increase,40,9895,9711
Saturday,2020-05-23,247,158,117,67,increase,41,10012,9895
Sunday,2020-05-24,281,198,165,112,increase,42,10177,10012
Monday,2020-05-25,214,152,124,73,increase,43,10301,10177
Tuesday,2020-05-26,231,145,118,74,increase,44,10419,10301
Wednesday,2020-05-27,182,119,92,43,increase,45,10511,10419
Thursday,2020-05-28,119,85,67,34,increase,46,10578,10511
Friday,2020-05-29,148,98,80,45,increase,47,10658,10578
Saturday,2020-05-30,115,82,60,33,increase,48,10718,10658
Sunday,2020-05-31,72,61,43,15,increase,49,10761,10718
Monday,2020-06-01,95,67,51,26,increase,50,10812,10761
Tuesday,2020-06-02,93,76,57,31,increase,51,10869,10812
Wednesday,2020-06-03,53,47,40,19,increase,52,10909,10869
Thursday,2020-06-04,254,179,158,107,increase,53,11067,10909
Friday,2020-06-05,169,113,101,64,increase,54,11168,11067
Saturday,2020-06-06,288,182,156,109,increase,55,11324,11168
Sunday,2020-06-07,158,98,86,58,increase,56,11410,11324
Monday,2020-06-08,177,122,107,79,increase,57,11517,11410
Tuesday,2020-06-09,265,187,158,106,increase,58,11675,11517
Wednesday,2020-06-10,157,120,108,78,increase,59,11783,11675
Thursday,2020-06-11,113,78,66,39,increase,60,11849,11783
Friday,2020-06-12,103,65,48,33,increase,61,11897,11849
Saturday,2020-06-13,76,62,43,22,increase,62,11940,11897
Sunday,2020-06-14,56,43,36,19,increase,63,11976,11940
Monday,2020-06-15,89,59,48,24,increase,64,12024,11976
Tuesday,2020-06-16,62,54,47,26,increase,65,12071,12024
Wednesday,2020-06-17,139,74,50,26,increase,66,12121,12071
Thursday,2020-06-18,83,61,52,30,increase,67,12173,12121
Friday,2020-06-19,48,37,26,11,increase,68,12199,12173
Saturday,2020-06-20,37,32,28,15,increase,69,12227,12199
Sunday,2020-06-21,39,32,29,16,increase,70,12256,12227
Monday,2020-06-22,57,38,35,25,increase,71,12291,12256
Tuesday,2020-06-23,114,54,50,28,increase,72,12341,12291
Wednesday,2020-06-24,48,38,32,18,increase,73,12373,12341
Thursday,2020-06-25,66,39,34,21,increase,74,12407,12373
Friday,2020-06-26,54,39,30,19,increase,75,12437,12407
Saturday,2020-06-27,31,29,20,9,increase,76,12457,12437
Sunday,2020-06-28,45,25,23,15,increase,77,12480,12457
Monday,2020-06-29,46,39,32,21,increase,78,12512,12480
Tuesday,2020-06-30,36,33,25,14,increase,79,12537,12512
Wednesday,2020-07-01,40,31,23,13,increase,80,12560,12537
Thursday,2020-07-02,36,32,28,18,increase,81,12588,12560
Friday,2020-07-03,47,29,20,9,increase,82,12608,12588
Saturday,2020-07-04,45,40,28,20,increase,83,12636,12608
Sunday,2020-07-05,69,42,33,25,increase,84,12669,12636
Monday,2020-07-06,49,41,31,15,increase,85,12700,12669
Tuesday,2020-07-07,69,55,50,31,increase,86,12750,12700
Wednesday,2020-07-08,112,72,57,40,increase,87,12807,12750
Thursday,2020-07-09,98,70,57,42,increase,88,12864,12807
Friday,2020-07-10,27,27,23,14,increase,89,12887,12864
Saturday,2020-07-11,15,14,9,4,increase,90,12896,12887
Sunday,2020-07-12,22,12,11,7,increase,91,12907,12896
Monday,2020-07-13,53,36,26,17,increase,92,12933,12907
Tuesday,2020-07-14,60,47,40,21,increase,93,12973,12933
Wednesday,2020-07-15,48,33,31,20,increase,94,13004,12973
Thursday,2020-07-16,36,24,20,13,increase,95,13024,13004
Friday,2020-07-17,61,38,34,17,increase,96,13058,13024
Saturday,2020-07-18,25,17,17,12,increase,97,13075,13058
Sunday,2020-07-19,36,28,26,19,increase,98,13101,13075
Monday,2020-07-20,66,43,38,24,increase,99,13139,13101
Tuesday,2020-07-21,96,36,33,26,increase,100,13172,13139
Wednesday,2020-07-22,82,59,56,36,increase,101,13228,13172
Thursday,2020-07-23,33,26,19,13,increase,102,13247,13228
Friday,2020-07-24,14,14,12,9,increase,103,13259,13247
Saturday,2020-07-25,17,16,15,9,increase,104,13274,13259
Sunday,2020-07-26,15,13,12,9,increase,105,13286,13274
Monday,2020-07-27,42,17,16,9,increase,106,13302,13286
Tuesday,2020-07-28,28,21,16,13,increase,107,13318,13302
Wednesday,2020-07-29,42,26,22,17,increase,108,13340,13318
Thursday,2020-07-30,32,28,19,9,increase,109,13359,13340
Friday,2020-07-31,16,13,11,6,increase,110,13370,13359
Saturday,2020-08-01,32,23,15,11,increase,111,13385,13370
Sunday,2020-08-02,30,20,12,8,increase,112,13397,13385
Monday,2020-08-03,30,17,11,9,increase,113,13408,13397
Tuesday,2020-08-04,36,22,16,10,increase,114,13424,13408
Wednesday,2020-08-05,66,37,33,26,increase,115,13457,13424
Thursday,2020-08-06,28,17,12,7,increase,116,13469,13457
Friday,2020-08-07,31,23,16,13,increase,117,13485,13469
Saturday,2020-08-08,20,15,10,7,increase,118,13495,13485
Sunday,2020-08-09,20,17,14,7,increase,119,13509,13495
Monday,2020-08-10,26,20,16,9,increase,120,13525,13509
Tuesday,2020-08-11,40,25,18,13,increase,121,13543,13525
Wednesday,2020-08-12,32,26,19,12,increase,122,13562,13543
Thursday,2020-08-13,15,15,14,9,increase,123,13576,13562
Friday,2020-08-14,18,13,10,4,increase,124,13586,13576
Saturday,2020-08-15,26,25,15,9,increase,125,13601,13586
Sunday,2020-08-16,41,35,32,27,increase,126,13633,13601
Monday,2020-08-17,103,62,54,43,increase,127,13687,13633
Tuesday,2020-08-18,86,55,44,35,increase,128,13731,13687
Wednesday,2020-08-19,53,38,27,21,increase,129,13758,13731
Thursday,2020-08-20,54,34,30,21,increase,130,13788,13758
Friday,2020-08-21,58,23,20,14,increase,131,13808,13788
Saturday,2020-08-22,19,15,14,10,increase,132,13822,13808
Sunday,2020-08-23,18,16,10,6,increase,133,13832,13822
Monday,2020-08-24,37,27,23,20,increase,134,13855,13832
Tuesday,2020-08-25,23,16,12,8,increase,135,13867,13855
Wednesday,2020-08-26,25,17,14,11,increase,136,13881,13867
Thursday,2020-08-27,16,13,12,9,increase,137,13893,13881
Friday,2020-08-28,20,17,7,4,increase,138,13900,13893
Saturday,2020-08-29,17,14,9,6,increase,139,13909,13900
Sunday,2020-08-30,15,14,5,4,increase,140,13914,13909
Monday,2020-08-31,53,17,15,10,increase,141,13929,13914
Tuesday,2020-09-01,34,21,15,10,increase,142,13944,13929
Wednesday,2020-09-02,19,14,13,10,increase,143,13957,13944
Thursday,2020-09-03,16,15,14,11,increase,144,13971,13957
Friday,2020-09-04,25,8,8,6,increase,145,13979,13971
Saturday,2020-09-05,3,3,3,3,increase,146,13982,13979
Sunday,2020-09-06,16,11,11,7,increase,147,13993,13982
Monday,2020-09-07,5,4,4,4,increase,148,13997,13993
Tuesday,2020-09-08,16,12,10,6,increase,149,14007,13997
Wednesday,2020-09-09,11,11,11,9,increase,150,14018,14007
Thursday,2020-09-10,10,8,7,5,increase,151,14025,14018
Friday,2020-09-11,63,38,34,30,increase,152,14059,14025
Saturday,2020-09-12,37,19,17,14,increase,153,14076,14059
Sunday,2020-09-13,16,10,9,7,increase,154,14085,14076
Monday,2020-09-14,25,19,18,14,increase,155,14103,14085
Tuesday,2020-09-15,118,11,11,11,increase,156,14114,14103
Wednesday,2020-09-16,150,26,26,22,increase,157,14140,14114
Thursday,2020-09-17,40,25,22,17,increase,158,14162,14140
Friday,2020-09-18,21,17,15,11,increase,159,14177,14162
Saturday,2020-09-19,9,8,8,6,increase,160,14185,14177
Sunday,2020-09-20,14,11,11,9,increase,161,14196,14185
Monday,2020-09-21,37,19,18,16,increase,162,14214,14196
Tuesday,2020-09-22,10,10,8,7,increase,163,14222,14214
Wednesday,2020-09-23,35,22,21,16,increase,164,14243,14222
Thursday,2020-09-24,31,20,19,13,increase,165,14262,14243
Friday,2020-09-25,60,30,27,24,increase,166,14289,14262
Saturday,2020-09-26,32,20,19,14,increase,167,14308,14289
Sunday,2020-09-27,8,5,5,3,increase,168,14313,14308
Monday,2020-09-28,24,16,12,9,increase,169,14325,14313
Tuesday,2020-09-29,43,18,15,12,increase,170,14340,14325
Wednesday,2020-09-30,10,8,7,4,increase,171,14347,14340
Thursday,2020-10-01,19,9,9,8,increase,172,14356,14347
Friday,2020-10-02,27,12,12,9,increase,173,14368,14356
Saturday,2020-10-03,22,11,8,8,increase,174,14376,14368
Sunday,2020-10-04,23,17,14,13,increase,175,14390,14376
Monday,2020-10-05,9,8,8,5,increase,176,14398,14390
Tuesday,2020-10-06,23,21,18,16,increase,177,14416,14398
Wednesday,2020-10-07,25,14,12,10,increase,178,14428,14416
Thursday,2020-10-08,46,33,28,22,increase,179,14456,14428
Friday,2020-10-09,280,190,168,156,increase,180,14624,14456
Saturday,2020-10-10,280,243,221,214,increase,181,14845,14624
