mm,dd,yyyy,Count
04,13,2020,37
04,14,2020,231
04,15,2020,161
04,16,2020,57
04,17,2020,181
04,18,2020,261
04,19,2020,74
04,20,2020,79
04,21,2020,215
04,22,2020,741
04,23,2020,446
04,24,2020,257
04,25,2020,477
04,26,2020,445
04,27,2020,547
04,28,2020,154
04,29,2020,95
04,30,2020,140
05,01,2020,81
05,02,2020,101
05,03,2020,111
05,04,2020,434
05,05,2020,163
05,06,2020,79
05,07,2020,75
05,08,2020,52
05,09,2020,55
05,10,2020,76
05,11,2020,51
05,12,2020,143
05,13,2020,180
05,14,2020,1501
05,15,2020,6322
05,16,2020,1952
05,17,2020,1105
05,18,2020,838
05,19,2020,650
05,20,2020,521
05,21,2020,837
05,22,2020,416
05,23,2020,317
05,24,2020,340
05,25,2020,304
05,26,2020,310
05,27,2020,263
05,28,2020,148
05,29,2020,182
05,30,2020,159
05,31,2020,89
06,01,2020,133
06,02,2020,104
06,03,2020,59
06,04,2020,325
06,05,2020,206
06,06,2020,347
06,07,2020,207
06,08,2020,225
06,09,2020,323
06,10,2020,210
06,11,2020,131
06,12,2020,151
06,13,2020,90
06,14,2020,63
06,15,2020,115
06,16,2020,76
06,17,2020,171
06,18,2020,92
06,19,2020,54
06,20,2020,44
06,21,2020,44
06,22,2020,64
06,23,2020,126
06,24,2020,52
06,25,2020,77
06,26,2020,58
06,27,2020,34
06,28,2020,51
06,29,2020,49
06,30,2020,45
07,01,2020,59
07,02,2020,41
07,03,2020,66
07,04,2020,51
07,05,2020,80
07,06,2020,53
07,07,2020,76
07,08,2020,150
07,09,2020,124
07,10,2020,28
07,11,2020,12
07,13,2020,76
07,14,2020,69
07,15,2020,61
07,16,2020,49
07,17,2020,66
07,18,2020,26
07,19,2020,37
07,20,2020,82
07,21,2020,104
07,22,2020,102
07,23,2020,43
07,24,2020,16
07,25,2020,18
07,26,2020,18
07,27,2020,52
07,28,2020,31
07,29,2020,58
07,30,2020,39
07,31,2020,21
08,01,2020,38
08,02,2020,35
08,03,2020,35
08,04,2020,42
08,05,2020,80
08,06,2020,32
08,07,2020,38
08,08,2020,20
08,09,2020,21
08,10,2020,27
08,11,2020,55
08,12,2020,41
08,13,2020,15
08,14,2020,23
08,15,2020,29
08,16,2020,42
08,17,2020,120
08,18,2020,101
08,19,2020,63
08,20,2020,60
08,21,2020,83
08,22,2020,21
08,23,2020,18
08,24,2020,41
08,25,2020,29
08,26,2020,29
08,27,2020,20
08,28,2020,24
08,29,2020,17
08,30,2020,16
08,31,2020,60
09,01,2020,37
09,02,2020,22
09,03,2020,16
09,04,2020,26
09,05,2020,3
09,06,2020,17
09,07,2020,14
09,08,2020,21
09,09,2020,13
09,10,2020,11
09,11,2020,77
09,12,2020,40
09,13,2020,22
09,14,2020,28
09,15,2020,118
09,16,2020,168
09,17,2020,56
09,18,2020,27
09,19,2020,9
09,20,2020,19
09,21,2020,48
09,22,2020,23
09,23,2020,37
09,24,2020,33
09,25,2020,73
