mm,dd,yyyy,Count
04,13,2020,19
04,14,2020,178
04,15,2020,129
04,16,2020,39
04,17,2020,89
04,18,2020,138
04,19,2020,51
04,20,2020,53
04,21,2020,120
04,22,2020,461
04,23,2020,279
04,24,2020,182
04,25,2020,368
04,26,2020,205
04,27,2020,200
04,28,2020,92
04,29,2020,45
04,30,2020,82
05,01,2020,55
05,02,2020,63
05,03,2020,87
05,04,2020,413
05,05,2020,145
05,06,2020,58
05,07,2020,66
05,08,2020,36
05,09,2020,42
05,10,2020,54
05,11,2020,36
05,12,2020,130
05,13,2020,111
05,14,2020,513
05,15,2020,1555
05,16,2020,581
05,17,2020,381
05,18,2020,295
05,19,2020,240
05,20,2020,193
05,21,2020,283
05,22,2020,156
05,23,2020,115
05,24,2020,118
05,25,2020,124
05,26,2020,133
05,27,2020,124
05,28,2020,73
05,29,2020,78
05,30,2020,70
05,31,2020,25
06,01,2020,48
06,02,2020,26
06,03,2020,21
06,04,2020,135
06,05,2020,79
06,06,2020,133
06,07,2020,88
06,08,2020,93
06,09,2020,144
06,10,2020,83
06,11,2020,61
06,12,2020,71
06,13,2020,32
06,14,2020,23
06,15,2020,52
06,16,2020,35
06,17,2020,87
06,18,2020,32
06,19,2020,17
06,20,2020,19
06,21,2020,15
06,22,2020,32
06,23,2020,58
06,24,2020,21
06,25,2020,39
06,26,2020,25
06,27,2020,10
06,28,2020,24
06,29,2020,16
06,30,2020,21
07,01,2020,35
07,02,2020,15
07,03,2020,32
07,04,2020,19
07,05,2020,35
07,06,2020,14
07,07,2020,21
07,08,2020,64
07,09,2020,45
07,10,2020,4
07,11,2020,4
07,13,2020,39
07,14,2020,32
07,15,2020,27
07,16,2020,22
07,17,2020,26
07,18,2020,7
07,19,2020,7
07,20,2020,34
07,21,2020,49
07,22,2020,36
07,23,2020,22
07,24,2020,5
07,25,2020,6
07,26,2020,6
07,27,2020,25
07,28,2020,13
07,29,2020,37
07,30,2020,20
07,31,2020,11
08,01,2020,17
08,02,2020,8
08,03,2020,23
08,04,2020,17
08,05,2020,57
08,06,2020,15
08,07,2020,24
08,08,2020,7
08,09,2020,6
08,10,2020,13
08,11,2020,41
08,12,2020,25
08,13,2020,6
08,14,2020,10
08,15,2020,10
08,16,2020,15
08,17,2020,76
08,18,2020,63
08,19,2020,33
08,20,2020,41
08,21,2020,54
08,22,2020,13
08,23,2020,10
08,24,2020,25
08,25,2020,14
08,26,2020,12
08,27,2020,11
08,28,2020,19
08,29,2020,12
08,30,2020,13
08,31,2020,34
09,01,2020,18
09,02,2020,13
09,03,2020,10
09,04,2020,13
09,05,2020,2
09,06,2020,9
09,07,2020,9
09,08,2020,13
09,09,2020,6
09,10,2020,2
09,11,2020,60
09,12,2020,29
09,13,2020,12
09,14,2020,18
09,15,2020,63
09,16,2020,92
09,17,2020,38
09,18,2020,16
09,19,2020,6
09,20,2020,10
09,21,2020,27
09,22,2020,20
09,23,2020,24
09,24,2020,17
09,25,2020,33
09,26,2020,22
09,27,2020,4
09,28,2020,17
09,29,2020,26
09,30,2020,5
10,01,2020,19
10,02,2020,22
10,03,2020,16
10,04,2020,12
10,05,2020,3
10,06,2020,11
10,07,2020,25
10,08,2020,31
10,09,2020,90
10,10,2020,51
10,11,2020,81
10,12,2020,45
10,13,2020,61
10,14,2020,39
10,15,2020,28
10,16,2020,45
10,17,2020,11
10,18,2020,20
10,19,2020,13
10,20,2020,79
10,21,2020,101
10,22,2020,138
10,23,2020,81
10,24,2020,61
10,25,2020,29
10,26,2020,29
10,27,2020,35
10,28,2020,61
10,29,2020,33
10,30,2020,55
10,31,2020,18
11,01,2020,29
11,02,2020,188
11,03,2020,274
11,04,2020,66
11,05,2020,127
11,06,2020,203
11,07,2020,224
11,08,2020,124
11,09,2020,59
11,10,2020,130
11,11,2020,131
11,12,2020,75
11,13,2020,103
11,14,2020,85
11,15,2020,42
11,16,2020,63
11,17,2020,76
11,18,2020,134
11,19,2020,26
11,20,2020,50
11,21,2020,55
11,22,2020,23
11,23,2020,55
11,24,2020,57
11,25,2020,53
11,26,2020,75
11,27,2020,138
11,28,2020,49
11,29,2020,27
11,30,2020,74
12,01,2020,40
12,02,2020,56
12,03,2020,35
12,04,2020,44
12,05,2020,93
12,06,2020,15
12,07,2020,37
12,08,2020,150
12,09,2020,146
12,10,2020,117
12,11,2020,232
12,12,2020,117
12,13,2020,84
12,14,2020,65
12,15,2020,39
12,16,2020,22
12,17,2020,102
12,18,2020,91
12,19,2020,15
12,20,2020,19
12,21,2020,81
12,22,2020,85
12,23,2020,110
12,24,2020,114
12,25,2020,14
12,26,2020,19
12,27,2020,33
12,28,2020,16
12,29,2020,76
12,30,2020,48
12,31,2020,15
01,01,2021,18
01,02,2021,21
01,03,2021,57
01,04,2021,21
01,05,2021,63
01,06,2021,28
01,07,2021,90
01,08,2021,14
01,09,2021,19
01,10,2021,52
01,11,2021,48
01,12,2021,20
01,13,2021,31
01,14,2021,26
01,15,2021,41
01,16,2021,19
01,17,2021,25
01,18,2021,25
01,19,2021,33
01,20,2021,15
01,21,2021,35
01,22,2021,37
01,23,2021,14
01,24,2021,23
01,25,2021,32
01,26,2021,21
01,27,2021,29
01,28,2021,46
